Run,TimeSeconds
1,0.122
2,0.118
3,0.118
4,0.123
5,0.118
6,0.12
7,0.121
8,0.119
9,0.118
10,0.123
11,0.119
12,0.118
13,0.119
14,0.118
15,0.121
16,0.12
17,0.118
18,0.121
19,0.119
20,0.119
21,0.118
22,0.119
23,0.118
24,0.121
25,0.118
26,0.118
27,0.116
28,0.12
29,0.117
30,0.118
31,0.119
32,0.122
33,0.118
34,0.119
35,0.119
36,0.133
37,0.118
38,0.118
39,0.119
40,0.117
41,0.122
42,0.118
43,0.12
44,0.118
45,0.118
46,0.12
47,0.118
48,0.117
49,0.119
50,0.118
51,0.119
52,0.117
53,0.117
54,0.117
55,0.12
56,0.117
57,0.117
58,0.118
59,0.116
60,0.121
61,0.119
62,0.118
63,0.117
64,0.12
65,0.122
66,0.122
67,0.12
68,0.122
69,0.12
70,0.118
71,0.117
72,0.118
73,0.117
74,0.119
75,0.119
76,0.117
77,0.117
78,0.117
79,0.117
80,0.118
81,0.119
82,0.118
83,0.12
84,0.118
85,0.119
86,0.121
87,0.119
88,0.118
89,0.12
90,0.118
91,0.118
92,0.117
93,0.118
94,0.119
95,0.12
96,0.117
97,0.118
98,0.117
99,0.118
100,0.12
101,0.117
102,0.118
103,0.119
104,0.119
105,0.117
106,0.118
107,0.117
108,0.118
109,0.118
110,0.121
111,0.122
112,0.118
113,0.117
114,0.117
115,0.117
116,0.118
117,0.12
118,0.12
119,0.119
120,0.118
121,0.12
122,0.119
123,0.118
124,0.118
125,0.118
126,0.118
127,0.117
128,0.117
129,0.119
130,0.118
131,0.121
132,0.118
133,0.121
134,0.126
135,0.12
136,0.121
137,0.12
138,0.118
139,0.118
140,0.117
141,0.117
142,0.119
143,0.116
144,0.119
145,0.119
146,0.117
147,0.119
148,0.118
149,0.12
150,0.121
151,0.122
152,0.129
153,0.139
154,0.126
155,0.132
156,0.118
157,0.121
158,0.12
159,0.118
160,0.119
161,0.12
162,0.12
163,0.118
164,0.122
165,0.123
166,0.12
167,0.12
168,0.116
169,0.135
170,0.118
171,0.117
172,0.119
173,0.119
174,0.116
175,0.119
176,0.118
177,0.12
178,0.119
179,0.119
180,0.118
181,0.117
182,0.117
183,0.117
184,0.12
185,0.118
186,0.119
187,0.118
188,0.118
189,0.119
190,0.118
191,0.117
192,0.118
193,0.118
194,0.119
195,0.117
196,0.118
197,0.117
198,0.119
199,0.117
200,0.117
